,Location,Price,Descr,Link,superficieutil,habitacionamueblada,numbanos,estadoconservacion,gastosincluidosalquiler,area,numhabitaciones
12,Liáns (Oleiros),330,"Se alquila en casa habitación con baño completo, también exterior, zona O Seixo (Oleiros) en la ría del Burgo",/alquilar/habitacion-lians15172-945856909432838_109600/,760,Amueblada,5,: En buen estado,0,habitaciones-a_coruna,6
13,Sagrada Familia-Vioño (A Coruña Capital),150,"Es una habitación doble exterior disponible a partir del dia 01-11-2019. El tamaño de la habitación es mediana, ...",/alquilar/habitacion-sagrada_familia_viono15005-945856909702840_109600/,70,Amueblada,2,0,0,habitaciones-a_coruna,3
14,Os Mallos-A Falperra (A Coruña Capital),180,Es una habitación individual exterior disponible a partir del dia 09-02-2019. La duración mínima del contrato es...,/alquilar/habitacion-os_mallos_a_falperra15005-945856909691348_109600/,75,Amueblada,1,: En buen estado,0,habitaciones-a_coruna,3
15,Nós (Oleiros),270,"Es una habitación doble exterior disponible a partir del dia 02-08-2019. El tamaño de la habitación es grande,  ...",/alquilar/habitacion-nos15176-945856909677125_109600/,100,Amueblada,1,: En buen estado,0,habitaciones-a_coruna,3
16,Os Anxeles (Brión),160,Es una habitación doble exterior disponible a partir del dia 01-01-2020. La duración mínima del contrato es 1 me...,/alquilar/habitacion-os_anxeles-945856909683904_109600/,92,Amueblada,2,: En buen estado,0,habitaciones-a_coruna,3
17,Concheiros-Fontiñas (Santiago de Compostela),330,Es una habitación doble exterior disponible a partir del dia 02-02-2020. La duración mínima del contrato es 1 me...,/alquilar/habitacion-concheiros_fontinas15703-945856909524995_109600/,100,Amueblada,2,: En buen estado,0,habitaciones-a_coruna,4
18,O Milladoiro (Ames),140,Es una habitación individual  disponible a partir del dia 09-09-2019. La duración mínima del contrato es 5 Meses...,/alquilar/habitacion-o_milladoiro-945856909688242_109600/,100,Amueblada,2,: En buen estado,0,habitaciones-a_coruna,3
19,Sagrada Familia-Vioño (A Coruña Capital),200,Es una habitación individual  disponible a partir del dia 01-10-2019. La duración mínima del contrato es Más de ...,/alquilar/habitacion-sagrada_familia_viono15005-945856909695080_109600/,90,Amueblada,2,: En buen estado,0,habitaciones-a_coruna,3
20,Cidade Vella-Atochas-Pescadería (A Coruña Capital),300,Es una habitación doble exterior disponible a partir del dia 07-10-2019. La duración mínima del contrato es Más ...,/alquilar/habitacion-cidade_vella_atochas_pescaderia15001-945856909697220_109600/,140,Amueblada,2,: En buen estado,0,habitaciones-a_coruna,3
21,Os Castros-Castrillón-Monelos (A Coruña Capital),190,Piso amplio con dos baños,/alquilar/habitacion-os_castros_castrillon_monelos15006-945856909689845_109600/,100,Amueblada,2,: En buen estado,0,habitaciones-a_coruna,4
22,Elviña-Barrio Flores-Matogrande-Someso (A Coruña Capital),220,"Es una habitación individual  disponible a partir del dia 01-07-2016. El tamaño de la habitación es mediana,  co...",/alquilar/habitacion-elvina_barrio_flores_matogrande_someso15008-945856909701611_109600/,90,Amueblada,1,: En buen estado,0,habitaciones-a_coruna,2
23,Catro Camiños-A Gaiteira (A Coruña Capital),230,Buscamos compañer@s de piso entre 25 y 30 años responsables para compartir piso en a coruña ciudad en frente del...,/alquilar/habitacion-catro_caminos_a_gaiteira-945856909677638_109800/,140,Amueblada,4,: Reformado,0,habitaciones-a_coruna,4
24,Liáns (Oleiros),330,"""se alquilan dos habitaciones en dúplex en Bastiagueiro a 400 m de la playa en un entorno de bosque y mar,zo...",/alquilar/habitacion-lians15179-945856909603955_109600/,170,Amueblada,3,: En buen estado,0,habitaciones-a_coruna,2
25,Os Castros-Castrillón-Monelos (A Coruña Capital),190,Piso amplio con dos baños,/alquilar/habitacion-os_castros_castrillon_monelos15006-945856909622924_109600/,100,Amueblada,2,: En buen estado,0,habitaciones-a_coruna,4
26,Aldeola (Malpica de Bergantiños),250,"Es una habitación individual  disponible a partir del dia 16-07-2019. El tamaño de la habitación es pequeña,  si...",/alquilar/habitacion-aldeola-945856909672666_109600/,10,0,1,: En buen estado,0,habitaciones-a_coruna,1
27,Aldeola (Malpica de Bergantiños),250,"Es una habitación individual  disponible a partir del dia 14-05-2019. El tamaño de la habitación es pequeña,  si...",/alquilar/habitacion-aldeola-945856909651625_109600/,10,0,1,: En buen estado,0,habitaciones-a_coruna,1
28,Aldeola (Malpica de Bergantiños),1,"Es una habitación individual  disponible a partir del dia 12-07-2019. El tamaño de la habitación es mediana,  si...",/alquilar/habitacion-aldeola-945856909671366_109600/,10,0,1,: En buen estado,0,habitaciones-a_coruna,1
29,Liáns (Oleiros),330,Es una habitación individual exterior disponible a partir del dia 07-06-2019. La duración mínima del contrato es...,/alquilar/habitacion-lians15179-945856909667463_109600/,150,Amueblada,2,: En buen estado,0,habitaciones-a_coruna,3
30,Liáns (Oleiros),330,Es una habitación individual exterior disponible a partir del dia 07-06-2019. La duración mínima del contrato es...,/alquilar/habitacion-lians15179-945856909603968_109600/,170,Amueblada,1,: En buen estado,0,habitaciones-a_coruna,2
31,Os Castros-Castrillón-Monelos (A Coruña Capital),250,Es una habitación doble exterior disponible a partir del dia 01-09-2017. La duración mínima del contrato es Más ...,/alquilar/habitacion-os_castros_castrillon_monelos15006-945856909665944_109600/,110,Amueblada,2,: En buen estado,0,habitaciones-a_coruna,4
32,Aldeola (Malpica de Bergantiños),1,"Es una habitación individual  disponible a partir del dia 02-06-2019. El tamaño de la habitación es mediana,  si...",/alquilar/habitacion-aldeola-945856909657457_109600/,20,Amueblada,1,: En buen estado,0,habitaciones-a_coruna,1
33,Elviña-Barrio Flores-Matogrande-Someso (A Coruña Capital),600,Es una habitación doble exterior disponible a partir del dia 03-07-2019. La duración mínima del contrato es Meno...,/alquilar/habitacion-elvina_barrio_flores_matogrande_someso15008-945856909667377_109600/,90,Amueblada,2,: En buen estado,0,habitaciones-a_coruna,3
34,Aldeola (Malpica de Bergantiños),380,"Es una habitación individual  disponible a partir del dia 06-05-2019. El tamaño de la habitación es pequeña,  si...",/alquilar/habitacion-aldeola-945856909648973_109600/,6,0,1,: En buen estado,0,habitaciones-a_coruna,1
35,Elviña-Barrio Flores-Matogrande-Someso (A Coruña Capital),150,Es una habitación individual exterior disponible a partir del dia 01-09-2019. La duración mínima del contrato es...,/alquilar/habitacion-elvina_barrio_flores_matogrande_someso15008-945856909668410_109600/,100,Amueblada,2,: En buen estado,0,habitaciones-a_coruna,4
36,Aldeola (Malpica de Bergantiños),550,"Es una habitación individual  disponible a partir del dia 02-06-2019. El tamaño de la habitación es pequeña,  si...",/alquilar/habitacion-aldeola-945856909657456_109600/,10,Amueblada,1,: En buen estado,0,habitaciones-a_coruna,1
37,Aldeola (Malpica de Bergantiños),250,"Es una habitación individual  disponible a partir del dia 18-05-2019. El tamaño de la habitación es pequeña,  si...",/alquilar/habitacion-aldeola-945856909652849_109600/,10,0,1,: En buen estado,0,habitaciones-a_coruna,1
38,Liáns (Oleiros),330,"""se alquilan dos habitaciones en dúplex en Bastiagueiro a 400 m de la playa en un entorno de bosque y mar,zo...",/alquilar/habitacion-lians15179-945856909603956_109600/,170,Amueblada,3,: En buen estado,0,habitaciones-a_coruna,2
39,Aldeola (Malpica de Bergantiños),250,"Es una habitación individual  disponible a partir del dia 11-07-2019. El tamaño de la habitación es pequeña,  si...",/alquilar/habitacion-aldeola-945856909671096_109600/,10,0,1,: En buen estado,0,habitaciones-a_coruna,1
40,Liáns (Oleiros),290,"Se alquila en casa habitación con baño completo, también exterior, zona O Seixo (Oleiros) en la ría del Burgo",/alquilar/habitacion-madrid_carretera_de-945856908488612_109600/,760,Amueblada,5,: En buen estado,0,habitaciones-a_coruna,6
41,Aldeola (Malpica de Bergantiños),380,"Es una habitación individual  disponible a partir del dia 10-05-2019. El tamaño de la habitación es pequeña,  si...",/alquilar/habitacion-aldeola-945856909650364_109600/,10,0,1,: En buen estado,0,habitaciones-a_coruna,1
42,Mesoiro-Feáns-Zapateira (A Coruña Capital),130,Es una habitación individual exterior disponible a partir del dia 01-09-2019. La duración mínima del contrato es...,/alquilar/habitacion-mesoiro_feans_zapateira15008-945856909679205_109600/,150,Amueblada,2,: En buen estado,0,habitaciones-a_coruna,5
43,Ribeira (Santa Uxia),250,Es una habitación individual exterior disponible a partir del dia 10-05-2019. La duración mínima del contrato es...,/alquilar/habitacion-ribeira_santa_uxia-945856909650034_109600/,120,Amueblada,3,: En buen estado,0,habitaciones-a_coruna,3
44,Os Castros-Castrillón-Monelos (A Coruña Capital),270,Es una habitación doble exterior disponible a partir del dia 02-07-2019. La duración mínima del contrato es Más ...,/alquilar/habitacion-os_castros_castrillon_monelos15009-945856909667986_109600/,120,Amueblada,2,0,0,habitaciones-a_coruna,4
45,Aldeola (Malpica de Bergantiños),250,"Es una habitación individual  disponible a partir del dia 10-05-2019. El tamaño de la habitación es pequeña,  si...",/alquilar/habitacion-aldeola-945856909650363_109600/,10,0,1,: En buen estado,0,habitaciones-a_coruna,1
46,Aldeola (Malpica de Bergantiños),380,"Es una habitación individual  disponible a partir del dia 17-05-2019. El tamaño de la habitación es pequeña,  si...",/alquilar/habitacion-aldeola-945856909652647_109600/,10,0,1,: En buen estado,0,habitaciones-a_coruna,1
47,Liáns (Oleiros),330,Es una habitación individual exterior disponible a partir del dia 07-06-2019. La duración mínima del contrato es...,/alquilar/habitacion-lians15179-945856909603969_109600/,170,Amueblada,1,: En buen estado,0,habitaciones-a_coruna,2
48,Os Castros-Castrillón-Monelos (A Coruña Capital),180,Es una habitación individual exterior disponible a partir del dia 01-09-2017. La duración mínima del contrato es...,/alquilar/habitacion-os_castros_castrillon_monelos15006-945856909665942_109600/,110,Amueblada,2,: En buen estado,0,habitaciones-a_coruna,4
49,Aldeola (Malpica de Bergantiños),250,"Es una habitación individual  disponible a partir del dia 13-05-2019. El tamaño de la habitación es pequeña,  si...",/alquilar/habitacion-aldeola-945856909651309_109600/,10,0,1,: En buen estado,0,habitaciones-a_coruna,1
50,Concheiros-Fontiñas (Santiago de Compostela),320,Es una habitación doble exterior disponible a partir del dia 31-01-2020. La duración mínima del contrato es 1 me...,/alquilar/habitacion-concheiros_fontinas15703-945856909628907_109600/,100,Amueblada,2,0,0,habitaciones-a_coruna,3
51,Aldeola (Malpica de Bergantiños),380,"Es una habitación individual  disponible a partir del dia 18-05-2019. El tamaño de la habitación es pequeña,  si...",/alquilar/habitacion-aldeola-945856909652850_109600/,10,0,1,: En buen estado,0,habitaciones-a_coruna,1
52,Centro Histórico (Santiago de Compostela),225,Es una habitación individual exterior disponible a partir del dia 01-09-2018. La duración mínima del contrato es...,/alquilar/habitacion-santiago_de_compostela_centro_historico15705-945856909648508_109600/,500,Amueblada,2,: En buen estado,0,habitaciones-a_coruna,4
53,Liáns (Oleiros),330,Es una habitación individual exterior disponible a partir del dia 18-12-2023. La duración mínima del contrato es...,/alquilar/habitacion-lians15179-945856909603964_109600/,150,Amueblada,2,: En buen estado,0,habitaciones-a_coruna,3
54,Aldeola (Malpica de Bergantiños),250,"Es una habitación individual  disponible a partir del dia 08-05-2019. El tamaño de la habitación es pequeña,  si...",/alquilar/habitacion-aldeola-945856909649698_109600/,10,0,1,: En buen estado,0,habitaciones-a_coruna,1
55,Os Castros-Castrillón-Monelos (A Coruña Capital),180,Es una habitación individual exterior disponible a partir del dia 01-09-2017. La duración mínima del contrato es...,/alquilar/habitacion-os_castros_castrillon_monelos15006-945856909665941_109600/,110,Amueblada,2,: En buen estado,0,habitaciones-a_coruna,4
56,Centro (Oviedo),265,"Piso de 4 habitaciones. Zonas comunes, dos baños completos, sala de estar, cocina. Todas habitaciones con llave ...",/alquilar/habitacion-oviedo_distrito_centro33001-945856909703136_109600/,110,Amueblada,2,: En buen estado,0,habitaciones-asturias,4
57,Centro (Avilés),220,Es una habitación individual exterior disponible a partir del dia 01-11-2019. La duración mínima del contrato es...,/alquilar/habitacion-aviles_centro33402-945856909703145_109600/,90,Amueblada,2,0,0,habitaciones-asturias,4
58,Centro (Oviedo),270,"Se alquilan 2 habitaciones , una de cama de 1,35 y otra de 2 camas de 90,cm, en Sampedro Mestallón número 3 piso...",/alquilar/habitacion-oviedo_distrito_centro33009-98430983547_103800/,91,0,1,: En buen estado,0,habitaciones-asturias,3
59,Centro (Oviedo),265,"Piso de 4 habitaciones. Zonas comunes, dos baños completos, sala de estar, cocina. Todas habitaciones con llave ...",/alquilar/habitacion-oviedo_distrito_centro33001-945856909703134_109600/,110,Amueblada,2,: En buen estado,0,habitaciones-asturias,4
60,Pumarín-Teatinos (Oviedo),210,Es una habitación individual exterior disponible a partir del dia 01-02-2018. La duración mínima del contrato es...,/alquilar/habitacion-pumarin_teatinos33011-945856909695677_109600/,80,Amueblada,1,: En buen estado,0,habitaciones-asturias,3
61,Centro (Oviedo),290,Es una habitación individual exterior disponible a partir del dia 01-09-2019. La duración mínima del contrato es...,/alquilar/habitacion-oviedo_distrito_centro33002-945856909685952_109600/,90,Amueblada,2,: En buen estado,0,habitaciones-asturias,3
62,Pumarín-Teatinos (Oviedo),280,Es una habitación doble exterior disponible a partir del dia 08-11-2019. La duración mínima del contrato es 3 me...,/alquilar/habitacion-pumarin_teatinos33011-945856909698822_109600/,45,Amueblada,1,: A estrenar,0,habitaciones-asturias,3
63,Buenavista-El Cristo (Oviedo),250,Es una habitación individual exterior disponible a partir del dia 26-08-2019. La duración mínima del contrato es...,/alquilar/habitacion-buenavista_el_cristo33006-945856909684347_109600/,100,Amueblada,1,0,0,habitaciones-asturias,4
64,Centro (Oviedo),290,Es una habitación individual  disponible a partir del dia 01-08-2019. La duración mínima del contrato es 5 Meses...,/alquilar/habitacion-oviedo_distrito_centro33004-945856909674695_109600/,150,Amueblada,2,: En buen estado,0,habitaciones-asturias,3
65,Centro (Oviedo),300,"Alquilo 2 habitaciones. Ideal para estudiantes mir o universitarios en Oviedo, muy cerca del seminario. Habitaci...",/alquilar/habitacion-oviedo_distrito_centro33008-945856909501610_109600/,90,Amueblada,2,: En buen estado,0,habitaciones-asturias,3
66,Centro (Oviedo),340,Es una habitación individual exterior disponible a partir del dia 01-08-2019. La duración mínima del contrato es...,/alquilar/habitacion-oviedo_distrito_centro33004-945856909674697_109600/,150,Amueblada,2,: En buen estado,0,habitaciones-asturias,3
67,Centro (Oviedo),265,"Piso de 4 habitaciones. Zonas comunes, dos baños completos, sala de estar, cocina. Todas habitaciones con llave ...",/alquilar/habitacion-oviedo_distrito_centro33001-945856909703135_109600/,110,Amueblada,2,: En buen estado,0,habitaciones-asturias,4
68,Pumarín-Teatinos (Oviedo),200,"El piso  exterior, muy soleado (orientación sur), 5ª planta de un edificio de cinco alturas (ascensor). Puerta...",/alquilar/habitacion-pumarin_teatinos33011-945856909698302_109600/,90,Amueblada,1,0,0,habitaciones-asturias,3
69,Pumarín-Teatinos (Oviedo),210,Es una habitación individual exterior disponible a partir del dia 01-02-2018. La duración mínima del contrato es...,/alquilar/habitacion-pumarin_teatinos33011-945856909695676_109600/,80,Amueblada,1,: En buen estado,0,habitaciones-asturias,3
70,Centro (Oviedo),375,Es una habitación doble exterior disponible a partir del dia 01-11-2019. La duración mínima del contrato es Más ...,/alquilar/habitacion-oviedo_distrito_centro33002-945856909662894_109600/,150,Amueblada,4,0,0,habitaciones-asturias,7
71,Ceares (Distrito Este. Gijón),290,Es una habitación individual  disponible a partir del dia 07-10-2019. La duración mínima del contrato es Más de ...,/alquilar/habitacion-ceares33205-945856909696714_109600/,75,Amueblada,1,: En buen estado,0,habitaciones-asturias,3
72,Centro (Oviedo),190,Es una habitación individual  disponible a partir del dia 24-12-2019. La duración mínima del contrato es 3 meses...,/alquilar/habitacion-oviedo_distrito_centro33009-945856909699372_109600/,100,Amueblada,2,0,0,habitaciones-asturias,3
73,Centro (Oviedo),290,Es una habitación individual  disponible a partir del dia 01-09-2019. La duración mínima del contrato es Más de ...,/alquilar/habitacion-oviedo_distrito_centro33002-945856909685953_109600/,90,Amueblada,2,: En buen estado,0,habitaciones-asturias,3
74,Ventanielles (Oviedo),165,Es una habitación individual exterior disponible a partir del dia 01-09-2016. El tamaño de la habitación es gran...,/alquilar/habitacion-ventanielles33010-945856909661216_109600/,70,Amueblada,1,: En buen estado,0,habitaciones-asturias,4
75,Somió-Cabueñes (Gijón),225,Es una habitación individual exterior disponible a partir del dia 11-09-2019. El tamaño de la habitación es medi...,/alquilar/habitacion-somio_cabuenes33203-945856909689852_109600/,225,Amueblada,3,: En buen estado,0,habitaciones-asturias,1
76,Centro (Distrito Centro. Gijón),330,Es una habitación individual exterior disponible a partir del dia 15-08-2019. El tamaño de la habitación es medi...,/alquilar/habitacion-centro_barrio33208-945856909678254_109600/,66,Amueblada,1,0,0,habitaciones-asturias,2
77,Centro (Oviedo),244,Es una habitación individual exterior disponible a partir del dia 01-10-2019. La duración mínima del contrato es...,/alquilar/habitacion-oviedo_distrito_centro33009-945856909696267_109600/,140,Amueblada,2,: En buen estado,0,habitaciones-asturias,3
78,Ceares (Distrito Este. Gijón),290,Es una habitación individual  disponible a partir del dia 07-10-2019. La duración mínima del contrato es Más de ...,/alquilar/habitacion-ceares33205-945856909696715_109600/,75,Amueblada,1,: En buen estado,0,habitaciones-asturias,3
79,Masip-La Ería-La Argañosa-Parque del Oeste (Oviedo),210,Es una habitación individual exterior disponible a partir del dia 01-08-2016. La duración mínima del contrato es...,/alquilar/habitacion-masip_la_eria_la_arganosa_parque_del_oeste33013-945856909688180_109600/,100,Amueblada,2,: En buen estado,0,habitaciones-asturias,3
80,Parque de Invierno (Oviedo),170,Es una habitación individual exterior disponible a partir del dia 01-09-2019. La duración mínima del contrato es...,/alquilar/habitacion-parque_de_invierno33008-945856909681952_109600/,100,Amueblada,1,0,0,habitaciones-asturias,3
81,La Florida-Las Campas (Oviedo),240,Es una habitación individual  disponible a partir del dia 01-09-2019. La duración mínima del contrato es Más de ...,/alquilar/habitacion-la_florida_las_campas33012-945856909685107_109600/,104,Amueblada,2,: A estrenar,0,habitaciones-asturias,4
82,Montecerrao (Oviedo),320,Es una habitación doble  disponible a partir del dia 12-01-2019. La duración mínima del contrato es 3 meses. El ...,/alquilar/habitacion-montecerrao33006-945856909698821_109600/,70,Amueblada,2,: En buen estado,0,habitaciones-asturias,4
83,Centro (Oviedo),290,Es una habitación individual exterior disponible a partir del dia 03-09-2017. La duración mínima del contrato es...,/alquilar/habitacion-oviedo_distrito_centro33002-945856909673755_109600/,90,Amueblada,2,: En buen estado,0,habitaciones-asturias,3
84,Pumarín-Teatinos (Oviedo),210,Es una habitación individual exterior disponible a partir del dia 10-01-2019. La duración mínima del contrato es...,/alquilar/habitacion-pumarin_teatinos33011-945856909695675_109600/,80,Amueblada,1,: En buen estado,0,habitaciones-asturias,3
85,Pumarín-Teatinos (Oviedo),200,"Es una habitación individual  disponible a partir del dia 01-11-2019. El tamaño de la habitación es mediana,  si...",/alquilar/habitacion-pumarin_teatinos33011-945856909701913_109600/,78,Amueblada,2,: En buen estado,0,habitaciones-asturias,2
86,El Llano (Gijón),230,Es una habitación individual exterior disponible a partir del dia 21-10-2019. La duración mínima del contrato es...,/alquilar/habitacion-gijon_el_llano33209-945856909656642_109600/,70,Amueblada,1,: En buen estado,0,habitaciones-asturias,3
87,Centro (Oviedo),290,Es una habitación individual exterior disponible a partir del dia 04-09-2017. La duración mínima del contrato es...,/alquilar/habitacion-oviedo_distrito_centro33002-945856909673754_109600/,90,Amueblada,2,: En buen estado,0,habitaciones-asturias,3
88,Centro (Oviedo),290,Es una habitación individual exterior disponible a partir del dia 03-09-2017. El tamaño de la habitación es medi...,/alquilar/habitacion-oviedo_distrito_centro33002-945856909673756_109600/,90,Amueblada,2,: En buen estado,0,habitaciones-asturias,3
89,Pumarín-Teatinos (Oviedo),200,Es una habitación individual exterior disponible a partir del dia 14-10-2019. La duración mínima del contrato es...,/alquilar/habitacion-pumarin_teatinos33011-945856909699103_109600/,0,Amueblada,1,: En buen estado,0,habitaciones-asturias,2
90,Centro (Avilés),255,Es una habitación individual exterior disponible a partir del dia 05-10-2019. El tamaño de la habitación es gran...,/alquilar/habitacion-aviles_centro33402-945856909696712_109600/,80,Amueblada,1,: En buen estado,0,habitaciones-asturias,3
91,L'Arena (Distrito Este. Gijón),330,Es una habitación doble  disponible a partir del dia 21-10-2019. La duración mínima del contrato es 1 mes. La du...,/alquilar/habitacion-arena33202-945856909696718_109600/,90,Amueblada,2,: A estrenar,0,habitaciones-asturias,2
92,Ventanielles (Oviedo),165,Es una habitación individual exterior disponible a partir del dia 01-09-2016. La duración mínima del contrato es...,/alquilar/habitacion-ventanielles33010-945856909661215_109600/,70,Amueblada,1,: En buen estado,0,habitaciones-asturias,4
93,Zona Rural (Gijón),290,Es una habitación doble exterior disponible a partir del dia 02-09-2019. La duración mínima del contrato es Más ...,/alquilar/habitacion-zona_rural33209-945856909685973_109600/,90,Amueblada,2,: En buen estado,0,habitaciones-asturias,3
94,Centro (Oviedo),300,"Alquilo 2 habitaciones. Ideal para estudiantes mir o universitarios en Oviedo, muy cerca del seminario. Habitaci...",/alquilar/habitacion-oviedo_distrito_centro33008-945856909350433_109600/,90,Amueblada,2,: En buen estado,0,habitaciones-asturias,3
95,Ciudad-Naranco-Vallobín (Oviedo),180,"Es una habitación individual  disponible a partir del dia 09-06-2019. El tamaño de la habitación es mediana,  co...",/alquilar/habitacion-ciudad_naranco_vallobin33012-945856909619096_109600/,80,Amueblada,1,: En buen estado,0,habitaciones-asturias,3
96,Centro (Oviedo),210,Es una habitación doble exterior disponible a partir del dia 01-12-2019. La duración mínima del contrato es 1 me...,/alquilar/habitacion-oviedo_distrito_centro33009-945856909699373_109600/,100,Amueblada,2,0,0,habitaciones-asturias,3
97,Centro (Distrito Centro. Gijón),330,Es una habitación individual exterior disponible a partir del dia 11-08-2019. El tamaño de la habitación es medi...,/alquilar/habitacion-centro_barrio33208-945856909680156_109600/,66,Amueblada,1,0,0,habitaciones-asturias,2
98,La Corredoría-Prado de la Vega-La Monxina (Oviedo),200,Es una habitación individual exterior disponible a partir del dia 08-09-2019. El tamaño de la habitación es medi...,/alquilar/habitacion-la_corredoria_prado_de_la_vega_la_monxina33011-945856909688787_109600/,90,Amueblada,2,: En buen estado,0,habitaciones-asturias,3
99,Buenavista-El Cristo (Oviedo),320,Es una habitación individual  disponible a partir del dia 01-12-2019. La duración mínima del contrato es 3 meses...,/alquilar/habitacion-buenavista_el_cristo33006-945856909703151_109600/,70,Amueblada,1,: En buen estado,0,habitaciones-asturias,3
100,Cimadevilla (Distrito Centro. Gijón),250,Es una habitación individual exterior disponible a partir del dia 15-03-2017. La duración mínima del contrato es...,/alquilar/habitacion-cimadevilla33201-945856909690467_109600/,80,Amueblada,1,0,0,habitaciones-asturias,4
101,La Florida-Las Campas (Oviedo),240,Es una habitación individual  disponible a partir del dia 01-09-2019. La duración mínima del contrato es Más de ...,/alquilar/habitacion-la_florida_las_campas33012-945856909685106_109600/,104,Amueblada,2,: A estrenar,0,habitaciones-asturias,4
102,Masip-La Ería-La Argañosa-Parque del Oeste (Oviedo),180,Es una habitación individual exterior disponible a partir del dia 18-12-2018. El tamaño de la habitación es pequ...,/alquilar/habitacion-masip_la_eria_la_arganosa_parque_del_oeste33013-945856909682540_109600/,80,Amueblada,2,: En buen estado,0,habitaciones-asturias,3
103,Centro (Distrito Centro. Gijón),200,Es una habitación doble exterior disponible a partir del dia 01-09-2019. La duración mínima del contrato es Más ...,/alquilar/habitacion-centro_barrio33205-945856909658745_109600/,190,Amueblada,2,: En buen estado,0,habitaciones-asturias,4
104,Nueva Huca (Oviedo),250,Es una habitación individual exterior disponible a partir del dia 24-10-2019. La duración mínima del contrato es...,/alquilar/habitacion-nueva_huca33011-945856909701910_109600/,90,Amueblada,1,0,0,habitaciones-asturias,2
105,Nueva Huca (Oviedo),250,Es una habitación individual exterior disponible a partir del dia 24-10-2019. La duración mínima del contrato es...,/alquilar/habitacion-nueva_huca33011-945856909701911_109600/,90,Amueblada,1,0,0,habitaciones-asturias,2
106,Aspo (Colunga),200,Es una habitación individual exterior disponible a partir del dia 01-01-2019. La duración mínima del contrato es...,/alquilar/habitacion-aspo-945856909696939_109600/,80,Amueblada,2,: En buen estado,0,habitaciones-asturias,2
107,Ventanielles (Oviedo),165,Es una habitación individual exterior disponible a partir del dia 01-09-2016. El tamaño de la habitación es gran...,/alquilar/habitacion-ventanielles33010-945856909661217_109600/,70,Amueblada,1,: En buen estado,0,habitaciones-asturias,4
