|Descr|Edad mínima|Género|Link|Location|Número de inquilinos|Price|area|estadoconservacion|gastosincluidosenalquiler|gastosincluidosenalquiler |habitacionamueblada|numbanos|numhabitaciones|superficieutil
20|Es una habitación individual  disponible a partir del dia 07-11-2019. La duración mínima del contrato es 5 Meses...|25|Chicas|/alquilar/habitacion-cidade_xardin_cidade_escolar15011-945856909705772_109600/|Cidade Xardín-Cidade Escolar (A Coruña Capital)|3|180|a_coruna|A reformar|0.0||Amueblada|2|4|100
21|Es una habitación individual  disponible a partir del dia 01-07-2016. El tamaño de la habitación es mediana,  co...|18||/alquilar/habitacion-elvina_barrio_flores_matogrande_someso15008-945856909701611_109600/|Elviña-Barrio Flores-Matogrande-Someso (A Coruña Capital)|2|220|a_coruna|En buen estado|0.0||Amueblada|1|2|90
22|Es una habitación individual  disponible a partir del dia 12-07-2019. El tamaño de la habitación es mediana,  si...|18||/alquilar/habitacion-aldeola-945856909671366_109600/|Aldeola (Malpica de Bergantiños)||1|a_coruna|En buen estado|0.0||0|1|1|10
23|Se alquila en casa habitación con baño completo, también exterior, zona O Seixo (Oleiros) en la ría del Burgo|22|Chicos|/alquilar/habitacion-madrid_carretera_de-945856908488612_109600/|Liáns (Oleiros)|5|290|a_coruna|En buen estado|0.0||Amueblada|5|6|760
24|Es una habitación individual  disponible a partir del dia 02-06-2019. El tamaño de la habitación es pequeña,  si...|18||/alquilar/habitacion-aldeola-945856909657456_109600/|Aldeola (Malpica de Bergantiños)||550|a_coruna|En buen estado|0.0||Amueblada|1|1|10
25|Es una habitación individual exterior disponible a partir del dia 07-04-2018. La duración mínima del contrato es...|18||/alquilar/habitacion-ribeira_santa_uxia-945856909676761_109600/|Ribeira (Santa Uxia)|2|230|a_coruna|En buen estado|0.0||Amueblada|4|4|120
26|Es una habitación individual exterior disponible a partir del dia 01-09-2019. La duración mínima del contrato es...|18||/alquilar/habitacion-mesoiro_feans_zapateira15008-945856909679204_109600/|Mesoiro-Feáns-Zapateira (A Coruña Capital)|5|130|a_coruna|En buen estado|0.0||Amueblada|2|5|150
27|Es una habitación individual  disponible a partir del dia 14-05-2019. El tamaño de la habitación es pequeña,  si...|18||/alquilar/habitacion-aldeola-945856909651625_109600/|Aldeola (Malpica de Bergantiños)||250|a_coruna|En buen estado|0.0||0|1|1|10
28|Es una habitación individual  disponible a partir del dia 11-07-2019. El tamaño de la habitación es pequeña,  si...|18||/alquilar/habitacion-aldeola-945856909671096_109600/|Aldeola (Malpica de Bergantiños)||250|a_coruna|En buen estado|0.0||0|1|1|10
29|Es una habitación individual exterior disponible a partir del dia 01-10-2019. La duración máxima del contrato es...|25|Chicas|/alquilar/habitacion-vilarrodis-945856909683136_109600/|Vilarrodís (Arteixo)|1|170|a_coruna|En buen estado|0.0||Amueblada|2|2|60
30|Es una habitación doble exterior disponible a partir del dia 02-07-2019. La duración mínima del contrato es Más ...|19|Chicas|/alquilar/habitacion-os_castros_castrillon_monelos15009-945856909667987_109600/|Os Castros-Castrillón-Monelos (A Coruña Capital)|2|270|a_coruna|0|0.0||Amueblada|2|4|120
31|Piso amplio con dos baños|18||/alquilar/habitacion-os_castros_castrillon_monelos15006-945856909689845_109600/|Os Castros-Castrillón-Monelos (A Coruña Capital)|4|190|a_coruna|En buen estado|0.0||Amueblada|2|4|100
32|Es una habitación doble exterior disponible a partir del dia 07-10-2019. La duración mínima del contrato es Más ...|18||/alquilar/habitacion-cidade_vella_atochas_pescaderia15001-945856909697220_109600/|Cidade Vella-Atochas-Pescadería (A Coruña Capital)|2|300|a_coruna|En buen estado|0.0||Amueblada|2|3|140
33|Es una habitación individual  disponible a partir del dia 13-05-2019. El tamaño de la habitación es pequeña,  si...|18||/alquilar/habitacion-aldeola-945856909651309_109600/|Aldeola (Malpica de Bergantiños)||250|a_coruna|En buen estado|0.0||0|1|1|10
34|Es una habitación individual  disponible a partir del dia 02-06-2019. El tamaño de la habitación es mediana,  si...|18||/alquilar/habitacion-aldeola-945856909657457_109600/|Aldeola (Malpica de Bergantiños)||1|a_coruna|En buen estado|0.0||Amueblada|1|1|20
35|Busco dos compañeras/os para compartir este piso en pza de san agustín para mitad de noviembre (preferiblemente ...|28|Chicas|/alquilar/habitacion-cidade_vella_atochas_pescaderia-945856909705875_109800/|Cidade Vella-Atochas-Pescadería (A Coruña Capital)|2|285|a_coruna|Reformado|0.0||0|2|3|100
36|Es una habitación individual exterior disponible a partir del dia 18-12-2023. La duración mínima del contrato es...|18||/alquilar/habitacion-lians15179-945856909603964_109600/|Liáns (Oleiros)|2|330|a_coruna|En buen estado|0.0||Amueblada|2|3|150
37|Es una habitación individual  disponible a partir del dia 09-09-2019. La duración mínima del contrato es 5 Meses...|18|Chicas|/alquilar/habitacion-o_milladoiro-945856909688242_109600/|O Milladoiro (Ames)|2|140|a_coruna|En buen estado|0.0||Amueblada|2|3|100
38|Es una habitación individual  disponible a partir del dia 18-05-2019. El tamaño de la habitación es pequeña,  si...|18||/alquilar/habitacion-aldeola-945856909652850_109600/|Aldeola (Malpica de Bergantiños)||380|a_coruna|En buen estado|0.0||0|1|1|10
39|Es una habitación individual  disponible a partir del dia 01-08-2019. La duración mínima del contrato es 3 meses...|26|Chicas|/alquilar/habitacion-catro_caminos_a_gaiteira15006-945856909611271_109600/|Catro Camiños-A Gaiteira (A Coruña Capital)|2|250|a_coruna|En buen estado|0.0||Amueblada|1|3|100
40|Es una habitación doble exterior disponible a partir del dia 02-07-2019. La duración mínima del contrato es Más ...|19|Chicas|/alquilar/habitacion-os_castros_castrillon_monelos15009-945856909667986_109600/|Os Castros-Castrillón-Monelos (A Coruña Capital)|2|270|a_coruna|0|0.0||Amueblada|2|4|120
41|Es una habitación individual exterior disponible a partir del dia 07-06-2019. La duración mínima del contrato es...|18||/alquilar/habitacion-lians15179-945856909603968_109600/|Liáns (Oleiros)|2|330|a_coruna|En buen estado|0.0||Amueblada|1|2|170
42|Es una habitación doble exterior disponible a partir del dia 03-07-2019. La duración mínima del contrato es Meno...|18||/alquilar/habitacion-elvina_barrio_flores_matogrande_someso15008-945856909667377_109600/|Elviña-Barrio Flores-Matogrande-Someso (A Coruña Capital)|2|600|a_coruna|En buen estado|0.0||Amueblada|2|3|90
43|Es una habitación doble exterior disponible a partir del dia 01-01-2020. La duración mínima del contrato es 1 me...|22||/alquilar/habitacion-os_anxeles-945856909683904_109600/|Os Anxeles (Brión)|2|160|a_coruna|En buen estado|0.0||Amueblada|2|3|92
44|Es una habitación individual exterior disponible a partir del dia 01-09-2019. La duración mínima del contrato es...|18||/alquilar/habitacion-mesoiro_feans_zapateira15008-945856909679205_109600/|Mesoiro-Feáns-Zapateira (A Coruña Capital)|5|130|a_coruna|En buen estado|0.0||Amueblada|2|5|150
45|Es una habitación doble exterior disponible a partir del dia 02-08-2019. El tamaño de la habitación es grande,  ...|18|Chicas|/alquilar/habitacion-nos15176-945856909677125_109600/|Nós (Oleiros)|1|270|a_coruna|En buen estado|0.0||Amueblada|1|3|100
46|Buscamos compañer@s de piso entre 25 y 30 años responsables para compartir piso en a coruña ciudad en frente del...|25|Chicas y chicos|/alquilar/habitacion-catro_caminos_a_gaiteira-945856909677638_109800/|Catro Camiños-A Gaiteira (A Coruña Capital)|3|230|a_coruna|Reformado|0.0||Amueblada|4|4|140
47|Es una habitación individual exterior disponible a partir del dia 07-06-2019. La duración mínima del contrato es...|18||/alquilar/habitacion-lians15179-945856909667463_109600/|Liáns (Oleiros)|2|330|a_coruna|En buen estado|0.0||Amueblada|2|3|150
48|Es una habitación individual  disponible a partir del dia 18-05-2019. El tamaño de la habitación es pequeña,  si...|18||/alquilar/habitacion-aldeola-945856909652849_109600/|Aldeola (Malpica de Bergantiños)||250|a_coruna|En buen estado|0.0||0|1|1|10
49|Es una habitación individual  disponible a partir del dia 16-07-2019. El tamaño de la habitación es pequeña,  si...|18||/alquilar/habitacion-aldeola-945856909672666_109600/|Aldeola (Malpica de Bergantiños)||250|a_coruna|En buen estado|0.0||0|1|1|10
50|Es una habitación doble exterior disponible a partir del dia 02-02-2020. La duración mínima del contrato es 1 me...|18|Chicas|/alquilar/habitacion-concheiros_fontinas15703-945856909524995_109600/|Concheiros-Fontiñas (Santiago de Compostela)|2|320|a_coruna|En buen estado|0.0||Amueblada|2|4|100
51|Piso amplio con dos baños|18||/alquilar/habitacion-os_castros_castrillon_monelos15006-945856909622924_109600/|Os Castros-Castrillón-Monelos (A Coruña Capital)|4|190|a_coruna|En buen estado|0.0||Amueblada|2|4|100
52|Es una habitación individual exterior disponible a partir del dia 07-06-2019. La duración mínima del contrato es...|18||/alquilar/habitacion-lians15179-945856909603969_109600/|Liáns (Oleiros)|2|330|a_coruna|En buen estado|0.0||Amueblada|1|2|170
53|Es una habitación individual  disponible a partir del dia 17-05-2019. El tamaño de la habitación es pequeña,  si...|18||/alquilar/habitacion-aldeola-945856909652647_109600/|Aldeola (Malpica de Bergantiños)||380|a_coruna|En buen estado|0.0||0|1|1|10
54|Es una habitación doble exterior disponible a partir del dia 22-08-2019. La duración mínima del contrato es Más ...|25||/alquilar/habitacion-vitoria_gasteiz_zona_urbana_distrito_centro01004-945856909683182_109600/|Centro (Vitoria - Gasteiz)|5|300|alava_araba|A estrenar|0.0||Amueblada|2|6|140
55|Es una habitación doble  disponible a partir del dia 22-08-2019. La duración mínima del contrato es 5 Meses. El ...|25||/alquilar/habitacion-vitoria_gasteiz_casco_viejo01001-945856909683180_109600/|Casco Viejo (Vitoria - Gasteiz)|4|270|alava_araba|En buen estado|0.0||Amueblada|2|5|115
56|Es una habitación individual exterior disponible a partir del dia 20-08-2018. La duración mínima del contrato es...|18|Chicas|/alquilar/habitacion-sansomendi01010-945856909684686_109600/|Sansomendi (Vitoria - Gasteiz)|2|350|alava_araba|En buen estado|0.0||Amueblada|2|3|120
57|Es una habitación doble exterior disponible a partir del dia 05-11-2019. La duración mínima del contrato es Más ...|18||/alquilar/habitacion-coronacion01012-945856909694797_109600/|Coronación (Vitoria - Gasteiz)|4|305|alava_araba|En buen estado|0.0||Amueblada|2|1|90
58|Es una habitación individual exterior disponible a partir del dia 30-09-2019. La duración mínima del contrato es...|20|Chicas|/alquilar/habitacion-lovaina01008-945856909692362_109600/|Lovaina (Vitoria - Gasteiz)|1|350|alava_araba|En buen estado|0.0||Amueblada|1|2|80
59|Es una habitación doble exterior disponible a partir del dia 13-09-2019. La duración mínima del contrato es Más ...|25||/alquilar/habitacion-salburua01002-945856909690498_109600/|Salburua (Vitoria - Gasteiz)|6|290|alava_araba|A estrenar|0.0||0|3|7|375
60|Es una habitación individual exterior disponible a partir del dia 01-10-2019. El tamaño de la habitación es medi...|27||/alquilar/habitacion-amurrio_centro_urbano-945856909693715_109600/|Amurrio|1|350|alava_araba|En buen estado|0.0||Amueblada|2|1|90
61|Es una habitación individual  disponible a partir del dia 11-07-2019. La duración mínima del contrato es Más de ...|25||/alquilar/habitacion-vitoria_gasteiz_zona_urbana_distrito_centro01001-945856909671101_109600/|Centro (Vitoria - Gasteiz)|5|290|alava_araba|0|0.0||Amueblada|4|7|240
62|Es una habitación individual exterior disponible a partir del dia 02-02-2020. La duración mínima del contrato es...|18||/alquilar/habitacion-arana_el_anglo_santiago01002-945856909677990_109600/|Arana-El Anglo-Santiago (Vitoria - Gasteiz)||350|alava_araba|En buen estado|0.0||Amueblada|1|3|80
63|Es una habitación individual exterior disponible a partir del dia 02-02-2020. El tamaño de la habitación es medi...|18||/alquilar/habitacion-arana_el_anglo_santiago01002-945856909677991_109600/|Arana-El Anglo-Santiago (Vitoria - Gasteiz)||350|alava_araba|En buen estado|0.0||Amueblada|1|3|80
64|"Se alquila 1 habitación exterior  equipada en el centro de vitoria-gasteiz.La habitación es amplia, acogedor, ..."|25||/alquilar/habitacion-vitoria_gasteiz_zona_urbana_distrito_centro01004-945856909671042_109600/|Centro (Vitoria - Gasteiz)|6|300|alava_araba|0|0.0||Amueblada|4|7|260
65|Es una habitación individual exterior disponible a partir del dia 01-08-2019. El tamaño de la habitación es medi...|18||/alquilar/habitacion-desemparados_judimendi_santa_lucia01003-945856909652846_109600/|Desemparados-Judimendi-Santa Lucía (Vitoria - Gasteiz)|1|320|alava_araba|En buen estado|0.0||Amueblada|1|2|75
66|Alquiler de piso de estudiantes en Vitoria para el curso 2019-2020. Céntrico (calle Badaia), 4 habitaciones, 117...|18|Chicas y chicos|/alquilar/habitacion-vitoria_gasteiz_casco_viejo-945856909664306_109800/|Casco Viejo (Vitoria - Gasteiz)|4|300|alava_araba|En buen estado|0.0||Amueblada|2|4|125
67|Es una habitación individual exterior disponible a partir del dia 02-02-2020. El tamaño de la habitación es medi...|18||/alquilar/habitacion-arana_el_anglo_santiago01002-945856909677992_109600/|Arana-El Anglo-Santiago (Vitoria - Gasteiz)||350|alava_araba|En buen estado|0.0||Amueblada|1|3|80
68|Habitación grande, iluminada, con baño y llave, derecho a cocina, se alquila a chico no fumador. Garaje para bic...|25|Chicos|/alquilar/habitacion-vitoria_gasteiz_san_martin01008-945856909651565_109600/|San Martín (Vitoria - Gasteiz)|1|220|alava_araba|En buen estado|0.0||Amueblada|2|3|90
69|Se alquila habitación amueblada en Agurain-Salvatierra. Busco compañer@ de piso. Tengo mascota muy educada y muy...|50|Chicos|/alquilar/habitacion-agurain_salvatierra_centro_urbano-945856909696758_109800/|Agurain - Salvatierra|1|250|alava_araba|Reformado|0.0||Amueblada|1|3|90
70|Es una habitación doble  disponible a partir del dia 01-08-2019. El tamaño de la habitación es mediana,  con fia...|18|Chicas|/alquilar/habitacion-mendizorrotza01006-945856909674016_109600/|Mendizorrotza (Vitoria - Gasteiz)|1|350|alava_araba|0|0.0||Amueblada|1|2|70
71|Es una habitación individual exterior disponible a partir del dia 01-11-2019. La duración mínima del contrato es...|18||/alquilar/habitacion-fatima_franciscanos02003-945856909703467_109600/|Fátima-Franciscanos (Albacete Capital)|2|175|albacete|0|0.0||Amueblada|2|4|105
72|Best house alquila una habitación para estudiantes o persona desplazada, zona feria. Todo incluido  en el precio...|||/alquilar/habitacion-el_pilar_san_pablo02005-97534069962_100500/|El Pilar-San Pablo (Albacete Capital)||250|albacete|En buen estado|0.0||0|1|1|75
73|Es una habitación individual exterior disponible a partir del dia 31-08-2019. El tamaño de la habitación es medi...|18||/alquilar/habitacion-hospital_parque_sur02002-945856909682561_109600/|Hospital-Parque Sur (Albacete Capital)|2|300|albacete|En buen estado|0.0||Amueblada|2|3|150
74|Es una habitación individual exterior disponible a partir del dia 31-08-2019. El tamaño de la habitación es medi...|18||/alquilar/habitacion-hospital_parque_sur02002-945856909682562_109600/|Hospital-Parque Sur (Albacete Capital)|2|400|albacete|En buen estado|0.0||Amueblada|2|3|150
75|Es una habitación individual  disponible a partir del dia 21-06-2019. El tamaño de la habitación es mediana,  co...|18||/alquilar/habitacion-santa_cruz_san_antonio_abad_industria_canicas02005-945856909663920_109600/|Santa Cruz-San Antonio Abad-Industria, Cañicas (Albacete Capital)|3|180|albacete|En buen estado|0.0||Amueblada|1|1|90
76|Esta estancia se encuentra en Calle El Salvador, Almería, situada en el distrito de Ciudad Jardin. Es una estanc...|||/alquilar/habitacion-ciudad_jardin_tagarete_zapillo04007-89186579897_100500/|Ciudad Jardín-Tagarete-Zapillo (Almería Capital)||270|almeria|En buen estado|0.0||0|0|0|240
77|Es una habitación individual exterior disponible a partir del dia 24-10-2019. La duración mínima del contrato es...|18||/alquilar/habitacion-retamar_cabo_de_gata04131-945856909701924_109600/|Retamar-Cabo de Gata (Almería Capital)|2|325|almeria|En buen estado|0.0||Amueblada|3|3|100
78|Es una habitación individual exterior disponible a partir del dia 24-10-2019. La duración mínima del contrato es...|18||/alquilar/habitacion-retamar_cabo_de_gata04131-945856909701923_109600/|Retamar-Cabo de Gata (Almería Capital)|2|390|almeria|En buen estado|0.0||Amueblada|3|3|100
79|Es una habitación individual  disponible a partir del dia 15-03-2019. La duración mínima del contrato es 1 mes. ...|18||/alquilar/habitacion-vera_casco_urbano04620-945856909633480_109600/|Casco Urbano (Vera)|1|195|almeria|En buen estado|0.0||Amueblada|3|3|170
80|Es una habitación doble exterior disponible a partir del dia 15-06-2019. El tamaño de la habitación es grande,  ...|30||/alquilar/habitacion-almeria_capital_centro04002-945856909626700_109600/|Centro (Almería Capital)|1|290|almeria|0|0.0||Amueblada|2|4|150
81|Alquilo amplia habitación (13m2) confortable y muy luminosa en Almería detrás del Centro Comercial Alcampo. Se e...|30|Chicas|/alquilar/habitacion-san_luis_los_molinos04009-945856909687146_109600/|San Luis-Los Molinos (Almería Capital)|2|200|almeria|A estrenar|0.0||Amueblada|2|4|130
82|Es una habitación individual exterior disponible a partir del dia 01-10-2019. La duración mínima del contrato es...|18||/alquilar/habitacion-la_canada_costacabana_loma_cabrera_el_alquian04130-945856909690989_109600/|La Cañada-Costacabana-Loma Cabrera-El Alquián (Almería Capital)|1|240|almeria|En buen estado|0.0||Amueblada|1|2|90
83|Es una habitación individual exterior disponible a partir del dia 24-09-2019. La duración mínima del contrato es...|18||/alquilar/habitacion-almeria_capital_centro04002-945856909693725_109600/|Centro (Almería Capital)|4|195|almeria|En buen estado|0.0||Amueblada|2|5|145
84|Es una habitación individual exterior disponible a partir del dia 19-03-2019. El tamaño de la habitación es medi...|18|Chicas|/alquilar/habitacion-oliveros_altamira_barrio_alto04005-945856909695683_109600/|Oliveros-Altamira-Barrio Alto (Almería Capital)|2|300|almeria|0|0.0||Amueblada|3|5|150
85|Es una habitación doble exterior disponible a partir del dia 01-10-2019. El tamaño de la habitación es grande,  ...|28||/alquilar/habitacion-villablanca_torrecardenas04009-945856909690991_109600/|Villablanca-Torrecárdenas (Almería Capital)|1|250|almeria|En buen estado|0.0||Amueblada|2|2|85
86|Es una habitación individual exterior disponible a partir del dia 01-07-2019. La duración mínima del contrato es...|20||/alquilar/habitacion-ciudad_jardin_tagarete_zapillo04007-945856909664183_109600/|Ciudad Jardín-Tagarete-Zapillo (Almería Capital)|1|250|almeria|En buen estado|0.0||Amueblada|1|2|60
87|Es una habitación individual exterior disponible a partir del dia 07-09-2019. El tamaño de la habitación es gran...|20|Chicas|/alquilar/habitacion-zona_sur_el_campillo_del_moro-945856909688766_109600/|Zona Sur-El Campillo del Moro (Distrito Aguadulce. Roquetas de Mar)|1|190|almeria|En buen estado|0.0||Amueblada|1|2|90
88|Es una habitación individual  disponible a partir del dia 02-05-2019. El tamaño de la habitación es mediana,  co...|18||/alquilar/habitacion-ciudad_jardin_tagarete_zapillo04007-945856909647722_109600/|Ciudad Jardín-Tagarete-Zapillo (Almería Capital)|1|300|almeria|En buen estado|0.0||Amueblada|1|3|90
89|Es una habitación individual exterior disponible a partir del dia 07-09-2019. El tamaño de la habitación es medi...|18||/alquilar/habitacion-el_ejido_santa_maria_del_aguila04710-945856909688744_109600/|Santa María del Águila (El Ejido)|1|225|almeria|En buen estado|0.0||Amueblada|1|1|140
90|Es una habitación individual  disponible a partir del dia 01-08-2019. La duración mínima del contrato es 2 meses...|18||/alquilar/habitacion-las_cabanuelas-945856909607011_109600/|Las Cabañuelas (Vícar)|1|160|almeria|En buen estado|0.0||Amueblada|1|2|90
91|Es una habitación individual  disponible a partir del dia 20-09-2019. La duración mínima del contrato es Más de ...|18||/alquilar/habitacion-almeria_capital_centro04001-945856909692357_109600/|Centro (Almería Capital)|2|200|almeria|0|0.0||Amueblada|1|1|50
92|Es una habitación doble exterior disponible a partir del dia 01-09-2019. La duración mínima del contrato es Meno...|25||/alquilar/habitacion-urbanizacion_roquetas_de_mar_las_marinas04740-945856909683707_109600/|Urbanización Roquetas de Mar-Las Marinas (Roquetas de Mar)|1|270|almeria|En buen estado|0.0||Amueblada|2|3|150
93|Es una habitación doble exterior disponible a partir del dia 01-08-2019. La duración mínima del contrato es Más ...|18||/alquilar/habitacion-la_canada_costacabana_loma_cabrera_el_alquian04130-945856909669075_109600/|La Cañada-Costacabana-Loma Cabrera-El Alquián (Almería Capital)|1|250|almeria|En buen estado|0.0||Amueblada|1|2|90
94|Es una habitación individual  disponible a partir del dia 01-12-2019. La duración mínima del contrato es 3 meses...|18||/alquilar/habitacion-buenavista_el_cristo33006-945856909703151_109600/|Buenavista-El Cristo (Oviedo)|2|320|asturias|En buen estado|0.0||Amueblada|1|3|70
95|Es una habitación individual exterior disponible a partir del dia 01-02-2020. La duración mínima del contrato es...|18||/alquilar/habitacion-arena33203-945856909662875_109600/|L'Arena (Distrito Este. Gijón)|6|295|asturias|0|0.0||Amueblada|3|6|150
96|Es una habitación individual exterior disponible a partir del dia 01-02-2018. La duración mínima del contrato es...|18||/alquilar/habitacion-pumarin_teatinos33011-945856909695676_109600/|Pumarín-Teatinos (Oviedo)||210|asturias|En buen estado|0.0||Amueblada|1|3|80
97|Piso de 4 habitaciones. Zonas comunes, dos baños completos, sala de estar, cocina. Todas habitaciones con llave ...|18||/alquilar/habitacion-oviedo_distrito_centro33001-945856909703134_109600/|Centro (Oviedo)|4|265|asturias|En buen estado|0.0||Amueblada|2|4|110
98|Es una habitación individual exterior disponible a partir del dia 14-10-2019. La duración mínima del contrato es...|18||/alquilar/habitacion-pumarin_teatinos33011-945856909699103_109600/|Pumarín-Teatinos (Oviedo)|1|200|asturias|En buen estado|0.0||Amueblada|1|2|0
99|Es una habitación individual exterior disponible a partir del dia 01-09-2019. La duración mínima del contrato es...|18||/alquilar/habitacion-oviedo_distrito_centro33002-945856909685954_109600/|Centro (Oviedo)||290|asturias|En buen estado|0.0||Amueblada|2|3|90
100|Es una habitación individual exterior disponible a partir del dia 07-09-2019. La duración mínima del contrato es...|30||/alquilar/habitacion-molleda-945856909688786_109600/|Molleda (Corvera de Asturias)|1|290|asturias|En buen estado|0.0||Amueblada|2|3|110
101|Es una habitación individual exterior disponible a partir del dia 02-09-2019. La duración mínima del contrato es...|18|Chicas|/alquilar/habitacion-buenavista_el_cristo33006-945856909668829_109600/|Buenavista-El Cristo (Oviedo)||275|asturias|En buen estado|0.0||Amueblada|1|3|78
102|Es una habitación individual  disponible a partir del dia 07-10-2019. La duración mínima del contrato es Más de ...|18|Chicos|/alquilar/habitacion-ceares33205-945856909696714_109600/|Ceares (Distrito Este. Gijón)|2|290|asturias|En buen estado|0.0||Amueblada|1|3|75
